IMPRESA,INDIRIZZO,COMUNE,CATEGORIA,SOTTOCATEGORIA,POSIZIONE,CODICE,DENOMINAZIONE URBANISTICA GENERICA,DENOMINAZIONE UFFICIALE,LOCALITA’,NUMERO CIVICO,ESPONENTE,CODICE POSTALE,CODICE ASSEGNATO AI COMUNI DA ISTAT,COMUNITA’ DI VALLE,TELEFONO,E-MAIL,SITO INTERNET,LATITUDINE,LONGITUDINE,POSITION
SEGHERIA ZANONER,STRADA DE LA COMUNITA’ DE FIEM,MOENA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.37107,11.65405",583,STRADA,DE LA COMUNITA’ DE FIEM,,,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-573262 – 392 307 1448,ti.onirgelleprenonaz@ofni,https://www.zanonerpellegrino.it/,46.37107,11.65405,
BAR RISTORANTE ALBERGO SILVANA,"VIA NUOVA, 6",LEDRO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.88929,10.73029",586,VIA,NUOVA,,6,,38067,022229,COMUNITA' ALTO GARDA E LEDRO,0464-591068,info@albergosilvanaledro.it,https://www.albergosilvanaledro.it/,45.88929,10.73029,
EDICOLA TABACCHI SANNICOLÒ GABRIELE,"PIAZZA SANZIO, 9",TRENTO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.07223,11.12507",587,PIAZZA,SANZIO,,9,,38122,022205,TERRITORIO VAL D'ADIGE,0461-416405,sannicologabriele@gmail.com,,46.07223,11.12507,
FARMACIA CENTRALE,"CORSO AUSUGUM, 40",BORGO VALSUGANA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.05395,11.45778",588,CORSO,AUSUGUM,,40,,38051,022022,COMUNITA' VALSUGANA E TESINO,0461-753065,,,46.05395,11.45778,
SIMONETTO CARNI,"VIA PADRI MORIZZO, 20",BORGO VALSUGANA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.05364,11.45870",589,VIA,PADRI MORIZZO,,20,,38051,022022,COMUNITA' VALSUGANA E TESINO,0461-752676,info@simonettocarni.it,http://www.simonettocarni.it/,46.05364,11.45870,
FAMIGLIA COOPERATIVA DI CAVALESE,"PIAZZA CESARE BATTISTI, 10",CAVALESE,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29143,11.45989",590,PIAZZA,CESARE BATTISTI,,10,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340378,amministrazione@coopcavalese.it,https://www.coopcavalese.it/,46.29143,11.45989,
NEON TRENTO SCOTUZZI,"VIA RAGAZZI DEL, 39",TRENTO,SETTORE NON ALIMENTARE,ARTIGIANO,"46.03702,11.12663",592,VIA,RAGAZZI DEL,,39,,38123,022205,TERRITORIO VAL D'ADIGE,0461-914800,info@neontrento.it,https://www.neontrento.it/,46.03702,11.12663,
RISTORANTE PIZZERIA LILLÀ,"VIA AL LAGO, 12 - TRAVOLT",VALLELAGHI,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.09832,11.05861",594,VIA,AL LAGO,TRAVOLT,12,,38070,022248,COMUNITA' DELLA VALLE DEI LAGHI,0461-866159 - 329 718 1578,abdel.marroun@hotmail.it,https://www.ristorantepizzerialilla.it/,46.09832,11.05861,
BAR HOTEL SEGGIOVIA,"LOCALITA' FRANCOLINI, 32",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.90645,11.18569",595,,,FRANCOLINI,32,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721179,info@hotelseggioviafolgaria.it,https://www.hotelseggioviafolgaria.it/it/,45.90645,11.18569,
PANIFICIO CANALIA,"VIA SCHIRNI, 13",FOLGARIA,SETTORE ALIMENTARE,ARTIGIANO,"45.89081,11.15457",596,VIA,SCHIRNI,,13,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-727152,,,45.89081,11.15457,
FOLGARIA FASHION SPORT,"VIA EMILIO COLPI, 191",FOLGARIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91496,11.17385",597,VIA,EMILIO COLPI,,191,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-720329,,,45.91496,11.17385,
BAR RISTORANTE HOTEL BIANCANEVE,"VIA ANDREA MAFFEI, 134",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.92033,11.18898",598,VIA,ANDREA MAFFEI,,134,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721272,info@grandhotelbiancaneve.it,https://www.grandhotelbiancaneve.it/index.php?lang=it,45.92033,11.18898,
BAR RISTORANTE HOTEL ERICA,"VIA NAZIONALE, 69",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.92511,11.21305",600,VIA,NAZIONALE,,69,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-765141,,,45.92511,11.21305,
BAR RISTORANTE ANTICO ALBERGO STELLA D'ITALIA,"VIA EMILIO COLPI, 48",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91495,11.17343",601,VIA,EMILIO COLPI,,48,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721135,info@anticoalbergostelladitalia.com,https://www.anticoalbergostelladitalia.com/it/ristorante,45.91495,11.17343,
BAR RISTORANTE ALBERGO TRENTINO,"VIA ALESSANDRO MANZONI, 63",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.93462,11.22873",602,VIA,ALESSANDRO MANZONI,,63,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-765350,booking@hoteltrentino.it - info@hoteltrentino.it,http://hoteltrentino.it/it/,45.93462,11.22873,
CALZATURE FAIT,"VIA EMILIO COLPI, 10",FOLGARIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91561,11.17204",603,VIA,EMILIO COLPI,,10,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721408,,,45.91561,11.17204,
FARMACIA GIRARDI,"VIA EMILIO COLPI, 175",FOLGARIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91507,11.17351",604,VIA,EMILIO COLPI,,175,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721143,,,45.91507,11.17351,
BAR RISTORANTE PARK HOTEL MIRAMONTI,"VIA DANTE ALIGHIERI, 12",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91233,11.18035",605,VIA,DANTE ALIGHIERI,,12,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721980,info@miramontiparkhotel.it,https://www.miramontiparkhotel.it/,45.91233,11.18035,
BAR RISTORANTE ALBERGO DUE SPADE,"VIA LEGA NAZIONALE, 41",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.92529,11.21315",606,VIA,LEGA NAZIONALE,,41,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-765116 – 334 945 3908,info@hotelduespadefolgaria.it,https://www.hotelduespadefolgaria.it/it/ristorante,45.92529,11.21315,
MERCERIA RELLA,"PIAZZA SAN LORENZO, 27",FOLGARIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91694,11.16911",607,PIAZZA,SAN LORENZO,,27,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-723203,,,45.91694,11.16911,
SALUMERIA BELLI,"PIAZZA OVENO, 1 - SOPRAMONTE",TRENTO,SETTORE ALIMENTARE,ARTIGIANO,"46.07123,11.06003",609,PIAZZA,OVENO,SOPRAMONTE,1,,38123,022205,TERRITORIO VAL D'ADIGE,0461-866130,info@salumeriabelli.it,https://lasalumeriabelli.it/,46.07123,11.06003,
BAR FIORENTINA,"VIA CALEPINA, 4",TRENTO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.06672,11.12242",611,VIA,CALEPINA,,4,,38122,022205,TERRITORIO VAL D'ADIGE,0461-236147,,https://www.fiorentinatrento.it/,46.06672,11.12242,
AMBROSI ALPINIST EXPERT,"VIA NAZIONALE, 35",PELLIZZANO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31115,10.75638",612,VIA,NAZIONALE,,35,,38020,022137,COMUNITA' DELLA VALLE DI SOLE,0463-751207,info@alpinexpert.it,https://www.alpinistexpert.com/,46.31115,10.75638,
MACELLERIA MALENCH,"PIAZZA SAN VITTORE, 19 - TAIO",PREDAIA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.32071,11.06593",613,PIAZZA,SAN VITTORE,TAIO,19,,38012,022230,COMUNITA’ DELLA VAL DI NON,0463-468194,,,46.32071,11.06593,
BAR DELL'HOTEL RANCOLIN,"STRADA DE MOENE, 31",MOENA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.37855,11.65874",617,STRADA,DE MOENE,,31,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-573115,,,46.37855,11.65874,
MOBILIFICIO ARTIGIANI ASSOCIATI,STRADA DE LA COMUNITA’ DE FIEM,MOENA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.36964,11.65214",618,STRADA,DE LA COMUNITA’ DE FIEM,,,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-573231,info@tislerai.com,https://www.mobilificioartigiani.it/,46.36964,11.65214,
BAR GABRY,"PIAZ DE RAMON, 27",MOENA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.37649,11.66202",619,PIAZ,DE RAMON,,27,,38035,022118,COMUNITA’ GENERAL DE FASCIA,334 638 3666,,,46.37649,11.66202,
BAR RAMON,"PIAZ DE RAMON, 57",MOENA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.37617,11.66080",620,PIAZ,DE RAMON,,57,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-090164,,,46.37617,11.66080,
ENOTECA DEL PINTER,"STRENTA DE ISCHIACIA, 1",MOENA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.37594,11.66015",621,STRENTA,DE ISCHIACIA,,1,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-574070,,,46.37594,11.66015,
GIOIELLERIA CROCE,"PIAZ DE RAMON, 23",MOENA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.37612,11.66164",622,PIAZ,DE RAMON,,23,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-573108,,http://www.gioielleriacroce.it/,46.37612,11.66164,
BAR DELL'HOTEL ALLE ALPI,"STRADA DE MOENE, 67",MOENA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.37927,11.66044",623,STRADA,DE MOENE,,67,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-573194,info@hotelallealpi.it,https://www.hotelallealpi.it/,46.37927,11.66044,
LA BORA,"PIAZ DE RAMON, 45",MOENA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.37608,11.66167",624,PIAZ,DE RAMON,,45,,38035,022118,COMUNITA’ GENERAL DE FASCIA,0462-574245,laboramoena@alice.it,https://tessilidealaboramoena.it/,46.37608,11.66167,
PELLETTERIA GRAZIA S.A.S.,"VIA FIUME, 29",RIVA DEL GARDA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88579,10.83917",626,VIA,FIUME,,29,,38066,022153,COMUNITA' ALTO GARDA E LEDRO,0464-556270,,,45.88579,10.83917,
MACELLERIA ZANOTELLI,"VIALE QUATTRO NOVEMBRE, 35 - CEMBRA",CEMBRA LISIGNAGO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17495,11.22101",627,VIALE,QUATTRO NOVEMBRE,CEMBRA,35,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683012,macelleria.zanotelli@virgilio.it,https://www.macelleriazanotelli.it/,46.17495,11.22101,
PANIFICIO GAIGHER,"VIA DAMIANO CHIESA, 6 - CEMBRA",CEMBRA LISIGNAGO,SETTORE ALIMENTARE,ARTIGIANO,"46.17517,11.21962",628,VIA,DAMIANO CHIESA,CEMBRA,6,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683008,,,46.17517,11.21962,
FERRAMENTA PIU',"VIALE QUATTRO NOVEMBRE, 82 - CEMBRA",CEMBRA LISIGNAGO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17620,11.22364",629,VIALE,QUATTRO NOVEMBRE,CEMBRA,82,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683274,,,46.17620,11.22364,
IDEA CASA,"VIALE QUATTRO NOVEMBRE, 78 - CEMBRA",CEMBRA LISIGNAGO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17626,11.22373",630,VIALE,QUATTRO NOVEMBRE,CEMBRA,78,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683232,,,46.17626,11.22373,
MACELLERIA PAOLAZZI,"PIAZZA SAN ROCCO, 2 - CEMBRA",CEMBRA LISIGNAGO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.18063,11.23271",631,PIAZZA,SAN ROCCO,CEMBRA,2,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683120,,https://www.cembranidoc.it/it/amici-macelleria-paolazzi-luigi,46.18063,11.23271,
BAR VICO,"PIAZZA GUGLIELMO MARCONI, 6 - CEMBRA",CEMBRA LISIGNAGO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.17537,11.22077",632,PIAZZA,GUGLIELMO MARCONI,CEMBRA,6,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683014,,,46.17537,11.22077,
BAR ROSALPINA,"VIALE QUATTRO NOVEMBRE, 17 - CEMBRA",CEMBRA LISIGNAGO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.17477,11.22010",633,VIALE,QUATTRO NOVEMBRE,CEMBRA,17,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-680058,,,46.17477,11.22010,
ALBERGO RISTORANTE BAR DUE SPADE,"PIAZZA MUNICIPIO, 2",CALDONAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.99161,11.26175",634,PIAZZA,MUNICIPIO,,2,,38052,022034,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-723113,info@albergoduespade.it,https://www.albergoduespade.it/1/1629/hotel.htm,45.99161,11.26175,
ALBERGO RISTORANTE BAR ALLA TORRE,"VIA DELLE VILLA, 37",CALDONAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.99250,11.25937",635,VIA,DELLE VILLA,,37,,38052,022034,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-723331,info@albergoallatorre.it,https://www.albergoallatorre.it/1/2590/hotel.htm,45.99250,11.25937,
CASALINGHI FERRAMENTA MURARA,"PIAZZA MUNICIPIO, 14",CALDONAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.99147,11.26229",636,PIAZZA,MUNICIPIO,,14,,38052,022034,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-723125,murarashop@alice.it,www.murarasnc.it,45.99147,11.26229,
MOBILI CIOLA,"VIA BRENTA, 9",CALDONAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.99414,11.26611",637,VIA,BRENTA,,9,,38052,022034,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-723152,ciola202020@yahoo.it,https://www.arredamenticiola.it/,45.99414,11.26611,
BAR RISTORNATE ROSSI,"VIA GUGLIELMO MARCONI, 1",LUSERNA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.92165,11.32401",638,VIA,GUGLIELMO MARCONI,,1,,38040,022109,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-789712,barrossisas@hotmail.it,,45.92165,11.32401,
MACELLERIA BONELLI,"VIA ASILO, 22 - SIROR",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.18839,11.83089",639,VIA,ASILO,SIROR,22,,38054,022245,COMUNITA' DI PRIMIERO,0439-762233,info@macelleriafamigliabonelli.it,http://www.macelleriafamigliabonelli.it/,46.18839,11.83089,
PANIFICIO PASTICCERIA ZANETEL ARRIGO,"VIA LARGA, 11 - SIROR",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE ALIMENTARE,ARTIGIANO,"46.18843,11.83152",640,VIA,LARGA,SIROR,11,,38054,022245,COMUNITA' DI PRIMIERO,0439-762228,,,46.18843,11.83152,
BAR HOTEL SIROR,"VIA LARGA, 13 - SIROR",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.18846,11.83175",641,VIA,LARGA,SIROR,13,,38054,022245,COMUNITA' DI PRIMIERO,0439-64673 – 340 182 0796,info@hotelsiror.it,http://www.hotelsiror.it/,46.18846,11.83175,
CAFFÈ CENTRALE DI GIAN LUIGI SECCO E C.,"VIA PASSO ROLLE, 76 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.26169,11.80117",642,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,76,,38054,022245,COMUNITA' DI PRIMIERO,0439-68062,,,46.26169,11.80117,
RISTORANTE ALBERGO CENTRALE,"VIA PASSO ROLLE, 74 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.26169,11.80106",643,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,74,,38054,022245,COMUNITA' DI PRIMIERO,0439-68083,info@hcentrale.it,https://www.hcentrale.it/,46.26169,11.80106,
BAZAR DELL'ALPE,"VIA PASSO ROLLE, 185 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.26249,11.80264",644,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,185,,38054,022245,COMUNITA' DI PRIMIERO,0439-769122,,,46.26249,11.80264,
BANCHER S.A.S. DI TISOT ADELIA E C.,"VIA LAGHETTO, 4 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.26180,11.80021",645,VIA,LAGHETTO,SAN MARTINO DI CASTROZZA,4,,38054,022245,COMUNITA' DI PRIMIERO,0439-68052,,,46.26180,11.80021,
ALBERGO BAR RISTORANTE ROSALPINA DI CANALIA GABRIELE,"VIA STRADA NUOVA, 8",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91863,11.16331",646,VIA,STRADA NUOVA,,8,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721240,info@hrosalpina.com,https://www.hrosalpina.com/hotel/50-anni-di-storia,45.91863,11.16331,
ALBERGO BAR RISTORANTE SAYONARA DI RECH WILLIAM,"VIA ANDREA MAFFEI, 52 - COSTA",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91740,11.18693",647,VIA,ANDREA MAFFEI,COSTA,52,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721186,hotelsayonara@hotmail.com,https://www.hotelsayonara.tn.it/index.php/it/,45.91740,11.18693,
NIC S.A.S. DI NICOLODI MARTINO,"CEMBRA - VIA CESARE BATTISTI, 33 - 1",CEMBRA LISIGNAGO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17418,11.22324",648,VIA,CESARE BATTISTI,CEMBRA,33,1,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-682277,,,46.17418,11.22324,
FAMIGLIA COOPERATIVA DI CEMBRA,"VIALE QUATTRO NOVEMBRE, 53 - CEMBRA",CEMBRA LISIGNAGO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17562,11.22294",649,VIALE,QUATTRO NOVEMBRE,CEMBRA,53,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683000,,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Valle-di-Cembra/FC-Valle-di-Cembra-Cembra,46.17562,11.22294,
TABACCHINO DI FADANELLI MAURA,"PIAZZA GUGLIELMO MARCONI, 8 - CEMBRA",CEMBRA LISIGNAGO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.17520,11.22025",650,PIAZZA,GUGLIELMO MARCONI,CEMBRA,8,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683095,,,46.17520,11.22025,
BAR PIZZERIA SAINT ROCK,"VIALE QUATTRO NOVEMBRE, 51 - CEMBRA",CEMBRA LISIGNAGO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.17532,11.22263",651,VIALE,QUATTRO NOVEMBRE,CEMBRA,51,,38034,022241,COMUNITA' DELLA VALLE DI CEMBRA,0461-683030,,,46.17532,11.22263,
BAZAR COVI,"PIAZZA SAN GIOVANNI, 16 - FONDO",BORGO D’ANAUNIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43940,11.13623",652,PIAZZA,SAN GIOVANNI,FONDO,16,,38013,022252,COMUNITA’ DELLA VAL DI NON,0463-831442,,,46.43940,11.13623,
EUROPAFERR FERRAMENTA DI ZINI MAURO GIOVANNI,"VIA CESARE BATTISTI, 25 - FONDO",BORGO D’ANAUNIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43817,11.13678",654,VIA,CESARE BATTISTI,FONDO,25,,38013,022252,COMUNITA’ DELLA VAL DI NON,0463-831329,info@europaferr.it,http://www.europaferr.it/,46.43817,11.13678,
BATTISTI CALZATURE DI BATTISTI ALBERTO,"FONDO - VIA CESARE BATTISTI, 16 - B",BORGO D’ANAUNIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43829,11.13641",655,VIA,CESARE BATTISTI,FONDO,16,B,38013,022252,COMUNITA’ DELLA VAL DI NON,0463-831170,,,46.43829,11.13641,
ZANONI PREZIOSI,"VIA VIRGILIO INAMA, 2 - FONDO",BORGO D’ANAUNIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43940,11.13654",656,VIA,VIRGILIO INAMA,FONDO,2,,38013,022252,COMUNITA’ DELLA VAL DI NON,0463-832090,info@zanonipreziosi.it,https://zanonipreziosi.it/,46.43940,11.13654,
PIZZERIA-RISTORANTE AL FOLON,"VIA LAGO SMERALDO, 18 - FONDO",BORGO D’ANAUNIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.44544,11.14517",657,VIA,LAGO SMERALDO,FONDO,18,,38013,022252,COMUNITA’ DELLA VAL DI NON,0463-831385,,,46.44544,11.14517,
BAR RISTORANTE TRENTO,"VIA MILANO, 10",BIENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.08018,11.55283",658,VIA,MILANO,,10,,38050,022015,COMUNITA' VALSUGANA E TESINO,340 313 4256,,,46.08018,11.55283,
BAR CAFFÈ ERO,"VIA SANT’ANDREA, 5 - SIROR",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.18867,11.83029",660,VIA,SANT’ANDREA,SIROR,5,,38054,022245,COMUNITA' DI PRIMIERO,,,,46.18867,11.83029,
BAR MARGHERITA,"VIA PASSO ROLLE, 183 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.26244,11.80252",661,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,183,,38054,022245,COMUNITA' DI PRIMIERO,,,,46.26244,11.80252,
ESTETICA PROFUMERIA TISOT,"VIA PASSO ROLLE, 133 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.26194,11.80070",662,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,133,,38054,022245,COMUNITA' DI PRIMIERO,0439-68112,,,46.26194,11.80070,
CALZATURE BANCHER SEVERINO,"VIA RIVETTA, 23 - SIROR",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.18813,11.83078",663,VIA,RIVETTA,SIROR,23,,38054,022245,COMUNITA' DI PRIMIERO,0439-62559,,,46.18813,11.83078,
RISTORANTE ALBERGO FRATAZZA,"VIA PASSO ROLLE, 2 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.25437,11.80201",664,VIA,PASSO ROLLE,SAN MARTINO DI CASTROZZA,2,,38054,022245,COMUNITA' DI PRIMIERO,0439-68170,fratazza@garibaldihotels.it,https://www.hotelfratazza.it/,46.25437,11.80201,
FAMIGLIA COOPERATIVA DI SIROR,"VIA SANT’ANDREA, 4 - SAN MARTINO DI CASTROZZA",PRIMIERO SAN MARTINO DI CASTROZZA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.18892,11.83024",665,VIA,SANT’ANDREA,SAN MARTINO DI CASTROZZA,4,,38054,022245,COMUNITA' DI PRIMIERO,0439-762402,fc.primiero@cooptrentina.it,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-di-Primiero/FC-Primiero-Siror,46.18892,11.83024,
BAR ALLA TORRE,"VIA AVISIO, 2",CASTELLO-MOLINA DI FIEMME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.28054,11.43497",666,VIA,AVISIO,,2,,38030,022047,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340010,,,46.28054,11.43497,
